Date,Run,Strength,Extra
2025-05-27,General aerobic + speed 8 mi w/ 10 x 100m strides,Workout A,
2025-06-16,General aerobic + speed 8 mi w/ 10 x 100m strides,Workout A,
2025-06-17,General aerobic 9 mi,Workout B,
2025-06-18,Recovery 5 mi,,
2025-06-19,Medium-long run 9 mi,Upper Day + 3mi,Heartbreakers
2025-06-20,Recovery 5 mi,,
2025-06-21,Marathon pace run 15 mi w/ 8 mi @ marathon race pace,,
2025-06-22,Cross-training,,
2025-06-23,Medium-long run 11 mi,Workout A,
2025-06-24,General aerobic 8 mi,Workout B,Heartbreakers
2025-06-25,Recovery 5 mi,,
2025-06-26,Lactate threshold 8 mi w 4 mi @ 15K to half marathon race pace,Upper Day + 4mi LT1,Heartbreakers
2025-06-27,Recovery 5 mi,,
2025-06-28,Long run 17 mi,,
2025-06-29,Cross-training,,
2025-06-30,Medium-long run 12 mi,Workout A,
2025-07-01,General aerobic + speed 8 mi w/ 10 X 100 m strides,Workout B,Heartbreakers
2025-07-02,Recovery 4 mi,,
2025-07-03,General aerobic 10 mi,Upper Day+ 4mi ,Heartbreakers
2025-07-04,Recovery 4 mi,,
2025-07-05,Marathon pace run 17 mi w/ 10 mi @ marathon race pace,,
2025-07-06,Cross-training,,
2025-07-07,Medium-long run 11 mi,Workout A,
2025-07-08,General aerobic 10 mi,Workout B + 3mi,Heartbreakers
2025-07-09,Recovery 5 mi,,
2025-07-10,Lactate threshold 10 mi w 5 mi @ 15K to half marathon race pace,5mi LT1,Heartbreakers
2025-07-11,Recovery 5 mi,,
2025-07-12,Long run 18 mi,,
2025-07-13,Cross-training,,
2025-07-14,Medium-long run 12 mi,Workout A,
2025-07-15,General aerobic 7 mi,Workout B,Heartbreakers
2025-07-16,Recovery 5 mi,,
2025-07-17,Lactate threshold 9 mi w 4 mi @ 15K to half marathon race pace,Upper Day + 4mi LT1,Heartbreakers
2025-07-18,Recovery 6 mi,,
2025-07-19,Long run 17 mi,,
2025-07-20,Cross-training,,
2025-07-21,Recovery 6 mi,,
2025-07-22,VO₂max 10 mi w/ 5 x 1000 m @ 5K race pace; jog 50 to 90% interval time between,Workout A + 3mi,Heartbreakers
2025-07-23,Medium-long run 12 mi,Workout B,
2025-07-24,General aerobic 8 mi,,Heartbreakers
2025-07-25,Recovery 6 mi,,
2025-07-26,Marathon pace run 18 mi w/ 12 mi @ marathon race pace,,
2025-07-27,Cross-training,,
2025-07-28,Medium-long run 13 mi,Full Body,
2025-07-29,General aerobic 7 mi,,Heartbreakers
2025-07-30,Recovery 5 mi,,
2025-07-31,Lactate threshold 12 mi w 7 mi @ 15K to half marathon race pace,5mi LT1 w/ 3mi WU/CD,Heartbreakers
2025-08-01,Recovery 5 mi,,
2025-08-02,Long run 21 mi,,
2025-08-03,Cross-training,,
2025-08-04,VO₂max 8 mi w/ 5 x 600 m @ 5K race pace; jog 50 to 90% interval time between,Workout A,
2025-08-05,Medium-long run 11 mi,Workout B,
2025-08-06,Recovery + speed 6 mi w/ 6 x 100 m strides,,
2025-08-07,Recovery 6 mi,,
2025-08-08,10K tune-up race (total 10 mi),Upper Day,
2025-08-09,Long run 17 mi,,
2025-08-10,Cross-training,,
2025-08-11,Recovery + speed 7 mi w/ 6 x 100 m strides,,
2025-08-12,VO₂max 10 mi w/ 4 x 1200 m @ 5K race pace; jog 50 to 90% interval time between,Workout A,
2025-08-13,Medium-long run 12 mi,Workout B,
2025-08-14,General aerobic 7 mi,,
2025-08-15,Recovery 5 mi,,
2025-08-16,Long run 22 mi,,
2025-08-17,Cross-training,,
2025-08-18,General aerobic 8 mi,Workout A,
2025-08-19,VO₂max 8 mi w/ 5 x 600 m @ 5K race pace; jog 50 to 90% interval time between,Workout B,Heartbreakers
2025-08-20,Recovery + speed 5 mi w/ 6 x 100 m strides,,
2025-08-21,Recovery 5 mi,,Heartbreakers
2025-08-22,10K tune-up race (total 9 mi),Upper Day,
2025-08-23,Long run 16 mi,,
2025-08-24,Cross-training,,
2025-08-25,General aerobic + speed 8 mi w/ 8 x 100 m strides,Workout A,
2025-08-26,VO₂max 8 mi w/ 3 x 1,600 m @ 5K race pace; jog 50 to 90% interval time between,,Heartbreakers
2025-08-27,Recovery 4 mi,Workout B,
2025-08-28,General aerobic 6 mi,,Heartbreakers
2025-08-29,Recovery + speed 4 mi w/ 6 x 100 m strides,,
2025-08-30,Medium-long run 12 mi,,
2025-08-31,Cross-training,,
2025-09-01,Recovery 5 mi,,
2025-09-02,Dress rehearsal 7 mi w/ 2 mi @ marathon race pace,Full-Body,Heartbreakers
2025-09-03,Recovery 3 mi ,,PRC Run
2025-09-04,Recovery + speed 5 mi w/ 6 x 100 m strides,,Heartbreakers
2025-09-05,Rest,,
2025-09-06,Shakeout 4 mi,,
2025-09-07,Race day,,
